timestamp,threat_type,source_ip,destination_ip,confidence,details
2026-07-18T13:40:51.538771,anomaly,34.40.52.46,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -10.736, 'confidence': 1.0}"
2026-07-18T13:41:15.520967,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -7.099, 'confidence': 1.0}"
2026-07-18T13:41:21.580314,anomaly,34.40.52.46,10.53.249.27,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -6.855, 'confidence': 1.0}"
2026-07-18T13:41:47.215718,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -50.291, 'confidence': 1.0}"
2026-07-18T13:42:22.543589,anomaly,10.53.249.27,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -50.927, 'confidence': 1.0}"
2026-07-18T13:42:44.970641,anomaly,10.41.138.140,160.79.104.10,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -26.26, 'confidence': 1.0}"
2026-07-18T13:42:45.000479,anomaly,160.79.104.10,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -262.808, 'confidence': 1.0}"
2026-07-18T13:42:45.424928,anomaly,185.60.218.53,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -58.883, 'confidence': 1.0}"
2026-07-18T13:42:47.127047,anomaly,40.79.141.153,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'packet_size', 'z_score': 8.25, 'confidence': 1.0}"
2026-07-18T13:42:48.635598,anomaly,10.41.138.228,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -1.171, 'confidence': 1.0}"
2026-07-18T13:42:53.013959,anomaly,10.41.1.178,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -94.349, 'confidence': 1.0}"
2026-07-18T13:42:53.030609,anomaly,10.41.159.226,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -95.989, 'confidence': 1.0}"
2026-07-18T13:43:15.706856,anomaly,10.41.138.140,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -211.442, 'confidence': 1.0}"
2026-07-18T13:43:33.204172,anomaly,160.79.104.10,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -23.901, 'confidence': 1.0}"
2026-07-18T13:43:43.549062,anomaly,150.171.109.53,10.41.138.140,0.9037117527506271,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'byte_rate', 'z_score': 5.42, 'confidence': 0.9037117527506271}"
2026-07-18T13:43:45.708500,anomaly,10.41.138.140,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -264.905, 'confidence': 1.0}"
2026-07-18T13:44:04.910012,anomaly,10.41.159.226,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -64.615, 'confidence': 1.0}"
2026-07-18T13:44:09.674837,anomaly,185.60.218.53,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -58.883, 'confidence': 1.0}"
2026-07-18T13:44:10.356774,anomaly,10.41.138.228,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -1.171, 'confidence': 1.0}"
2026-07-18T13:44:15.085556,anomaly,160.79.104.10,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -5.753, 'confidence': 1.0}"
2026-07-18T13:44:15.726354,anomaly,10.41.138.140,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -24.693, 'confidence': 1.0}"
2026-07-18T13:44:48.679265,anomaly,10.41.138.140,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -204.867, 'confidence': 1.0}"
2026-07-18T13:45:18.696525,anomaly,10.41.138.140,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -262.407, 'confidence': 1.0}"
2026-07-18T13:45:25.571357,anomaly,104.18.32.47,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -379.015, 'confidence': 1.0}"
2026-07-18T13:45:51.696762,anomaly,10.41.138.140,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -264.328, 'confidence': 1.0}"
2026-07-18T13:46:14.542318,anomaly,4.207.44.70,10.41.138.140,1.0,"{'type': 'anomaly', 'method': 'zscore', 'feature': 'packet_size', 'z_score': 7.48, 'confidence': 1.0}"
2026-07-18T13:46:22.501750,anomaly,10.41.138.140,34.40.52.46,1.0,"{'type': 'anomaly', 'method': 'lof', 'score': -264.045, 'confidence': 1.0}"
